Code,Year,TFP
BDI,1984,1.3733269
BDI,1985,1.4821883
BDI,1986,1.5056407
BDI,1987,1.5120937
BDI,1988,1.5455931
BDI,1989,1.5293028
BDI,1990,1.5773821
BDI,1991,1.6467692
BDI,1992,1.6554815
BDI,1993,1.622742
BDI,1994,1.5715059
BDI,1995,1.3579304
BDI,1996,1.2560712
BDI,1997,1.2723008
BDI,1998,1.2980516
BDI,1999,1.2359554
BDI,2000,1.2000688
BDI,2001,1.2030109
BDI,2002,1.2293776
BDI,2003,1.1741117
BDI,2004,1.1602559
BDI,2005,1.1166508
BDI,2006,1.1290176
BDI,2007,1.1139661
BDI,2008,1.1092589
BDI,2009,1.0984032
BDI,2010,1.0825242
BDI,2011,1.0664613
BDI,2012,1.0604489
BDI,2013,1.0603756
BDI,2014,1.0541546
BDI,2015,1.0152905
BDI,2016,1.0224295
BDI,2017,1.027477
BDI,2018,1.0277855
BDI,2019,1.0294398
BDI,2020,1.0116239
BDI,2021,1
BDI,2022,0.97718275
BDI,2023,0.9622678
CMR,1964,1.3566502
CMR,1965,1.34551
CMR,1966,1.3356161
CMR,1967,1.1474549
CMR,1968,1.1849253
CMR,1969,1.1888149
CMR,1970,1.2074862
CMR,1971,1.1999737
CMR,1972,1.2000161
CMR,1973,1.2154347
CMR,1974,1.2190753
CMR,1975,1.2314649
CMR,1976,1.1196389
CMR,1977,1.1970239
CMR,1978,1.3486574
CMR,1979,1.346268
CMR,1980,1.4195187
CMR,1981,1.4291941
CMR,1982,1.4451814
CMR,1983,1.4593115
CMR,1984,1.4660004
CMR,1985,1.4083927
CMR,1986,1.2708504
CMR,1987,1.1553608
CMR,1988,1.0729778
CMR,1989,1.0519652
CMR,1990,1.0097334
CMR,1991,0.98177856
CMR,1992,0.97303677
CMR,1993,0.94569117
CMR,1994,0.9213346
CMR,1995,0.9064882
CMR,1996,0.9039872
CMR,1997,0.8976241
CMR,1998,0.89365685
CMR,1999,0.8940377
CMR,2000,0.88393193
CMR,2001,0.8874129
CMR,2002,0.89243305
CMR,2003,0.9085274
CMR,2004,0.92957604
CMR,2005,0.91256136
CMR,2006,0.91203654
CMR,2007,0.9047771
CMR,2008,0.89997756
CMR,2009,0.90121996
CMR,2010,0.9046245
CMR,2011,0.89694804
CMR,2012,0.89936304
CMR,2013,0.9035303
CMR,2014,0.9077813
CMR,2015,0.9468554
CMR,2016,0.9711737
CMR,2017,0.9893739
CMR,2018,1.0105054
CMR,2019,1.0147616
CMR,2020,1.0068711
CMR,2021,1
CMR,2022,0.9774655
CMR,2023,0.9651723
CAN,1954,0.6701764
CAN,1955,0.71825904
CAN,1956,0.7472582
CAN,1957,0.750009
CAN,1958,0.7722088
CAN,1959,0.782625
CAN,1960,0.800474
CAN,1961,0.81506044
CAN,1962,0.84018743
CAN,1963,0.85728604
CAN,1964,0.8760317
CAN,1965,0.8886487
CAN,1966,0.9100509
CAN,1967,0.90624034
CAN,1968,0.9435776
CAN,1969,0.95845735
CAN,1970,0.97515285
CAN,1971,0.98233724
CAN,1972,0.9964872
CAN,1973,1.0049607
CAN,1974,0.9852107
CAN,1975,0.9779797
CAN,1976,1.0089818
CAN,1977,1.0196917
CAN,1978,1.014814
CAN,1979,0.99670714
CAN,1980,0.97915924
CAN,1981,0.97547585
CAN,1982,0.9605356
CAN,1983,0.9680127
CAN,1984,0.9881996
CAN,1985,0.99204224
CAN,1986,0.97676325
CAN,1987,0.9759666
CAN,1988,0.976058
CAN,1989,0.96803993
CAN,1990,0.95299965
CAN,1991,0.9408195
CAN,1992,0.94605625
CAN,1993,0.9556275
CAN,1994,0.9686885
CAN,1995,0.97167486
CAN,1996,0.96131945
CAN,1997,0.968851
CAN,1998,0.97310007
CAN,1999,0.9861814
CAN,2000,1.0053066
CAN,2001,1.007176
CAN,2002,1.0147673
CAN,2003,1.0078976
CAN,2004,1.008249
CAN,2005,1.0154066
CAN,2006,1.013983
CAN,2007,1.0032994
CAN,2008,0.9889632
CAN,2009,0.9710511
CAN,2010,0.9732486
CAN,2011,0.9827247
CAN,2012,0.9761955
CAN,2013,0.98145515
CAN,2014,0.99777377
CAN,2015,0.98729354
CAN,2016,0.9869128
CAN,2017,0.9973018
CAN,2018,0.9996474
CAN,2019,1.0001396
CAN,2020,1.0243056
CAN,2021,1
CAN,2022,1.0010264
CAN,2023,0.9827411
CAF,1980,1.1313311
CAF,1981,1.1522865
CAF,1982,1.1935815
CAF,1983,1.1140351
CAF,1984,1.1903307
CAF,1985,1.2007941
CAF,1986,1.2236245
CAF,1987,1.1465894
CAF,1988,1.1654482
CAF,1989,1.1801841
CAF,1990,1.1447961
CAF,1991,1.138849
CAF,1992,1.1086363
CAF,1993,1.0949895
CAF,1994,1.1292403
CAF,1995,1.1525754
CAF,1996,1.0754521
CAF,1997,1.1440264
CAF,1998,1.1940268
CAF,1999,1.2396568
CAF,2000,1.2482779
CAF,2001,1.2492943
CAF,2002,1.236593
CAF,2003,1.1572633
CAF,2004,1.1903175
CAF,2005,1.206014
CAF,2006,1.2461524
CAF,2007,1.2808473
CAF,2008,1.3014005
CAF,2009,1.3337784
CAF,2010,1.3707854
CAF,2011,1.4111772
CAF,2012,1.4770354
CAF,2013,0.95827764
CAF,2014,0.9504475
CAF,2015,0.9796275
CAF,2016,1.0045509
CAF,2017,1.017272
CAF,2018,1.0224726
CAF,2019,1.0333909
CAF,2020,1.011862
CAF,2021,1
CAF,2022,0.989106
CAF,2023,0.9829996
CHL,1955,0.93999356
CHL,1956,0.92866206
CHL,1957,0.97374743
CHL,1958,0.99896574
CHL,1959,0.97500044
CHL,1960,1.048058
CHL,1961,1.0634184
CHL,1962,1.0851948
CHL,1963,1.1185204
CHL,1964,1.1003736
CHL,1965,1.0667043
CHL,1966,1.1163145
CHL,1967,1.1365367
CHL,1968,1.10142
